投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题4
吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越方向跑偏多次维修未解决,前后桥及悬挂系统,跑偏,人员技术
长城汽车,哈弗H2,2016款 1.5T 手动 两驱豪华型,哈弗H2行驶时底盘出现严重异响,前后桥及悬挂系统,底盘异响,
上汽通用凯迪拉克,凯迪拉克XT5,2018款 28E 四驱 技术型,凯迪拉克XT5后减震器漏油希望尽快解决,前后桥及悬挂系统,减震器漏油,
吉利汽车,星瑞,2021款 2.0T 尊贵型,吉利星瑞油箱与车窗异响希望尽快处理,车身附件及电器,门窗异响,汽油箱异响
一汽丰田,卡罗拉,2017款 1.2T CVT GL-i,一汽丰田卡罗拉上锁后警报器不定时响,车身附件及电器,车钥匙故障,中控锁故障
广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌减震器漏油希望尽快处理,前后桥及悬挂系统,减震器漏油,
上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 舒适版 5座 改款,斯柯达柯迪亚克转向异响起步异响门把手异响,变速器,异响,异响
上汽大众斯柯达,速派,2013款 1.4T DSG 名仕版,斯柯达速派车内异味一直非常严重,车身附件及电器,车内异味,
长城汽车,哈弗H6,2021款 第三代 1.5T 自动 两驱 Max,哈弗H6车机APP无法远程控制车辆影响使用,车身附件及电器,车载互联故障,
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳大灯进水厂家不予索赔,车身附件及电器,车灯进水,服务态度
东风本田,本田CR-V,2016款 2.0L 两驱 都市版,东风本田CR-V变速箱漏油希望尽快处理,变速器,漏油,
广汽丰田,凯美瑞,2009款 240G 自动 豪华版,广汽丰田凯美瑞仪表台老化粘手希望处理,车身附件及电器,仪表台开裂,
东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂,轮胎,开裂,起皮
上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸换挡时方向盘有抖动现象,转向系统,抖动,
上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸换挡时方向盘有抖动现象,转向系统,抖动,
上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸换挡时方向盘有抖动现象,转向系统,抖动,
上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸换挡时方向盘有抖动现象,转向系统,抖动,
上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸换挡时方向盘有抖动现象,转向系统,抖动,
上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸换挡时方向盘有抖动现象,转向系统,抖动,
上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸换挡时方向盘有抖动现象,转向系统,抖动,
上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸换挡时方向盘有抖动现象,转向系统,抖动,
大众（进口）,途锐,2020款 2.0TSI 锐尚版 国VI,进口大众途锐实车配置与宣传不符,,销售欺诈,
东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁油箱加满后异响 悬挂异响,前后桥及悬挂系统,悬挂故障,汽油箱异响
雷克萨斯,雷克萨斯ES,2020款 200 卓越版,进口雷克萨斯ES挂D挡停车时异响严重,发动机,异响,异响
广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌变速箱顿挫 油门异响,发动机,异响,顿挫
大众（进口）,蔚揽新能源,2019款 GTE,进口大众蔚揽新能源售后维修时间过长,,承诺不兑现,
上汽通用别克,凯越,2013款 1.5L 自动 经典型,别克凯越变速箱升降挡顿挫动力延迟,变速器,顿挫,无法加速
广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞两侧半轴防尘套漏油,前后桥及悬挂系统,球笼套漏油,
长城汽车,风骏7,2019款 2.0T 柴油 两驱 超值型 国VI 大双 GW4D20M,长城风骏7发动机涡轮增压器损坏 不予质保,发动机,涡轮增压器故障,服务态度
长安福特,探险者,2020款 EcoBoost 285 四驱 风尚版 7座,长安福特探险者转向机异响更换两次未解决,转向系统,异响,人员技术
广汽丰田,凯美瑞,2019款 改款 2.0G 豪华版,广汽丰田凯美瑞水箱划痕 行驶时异响,发动机,异响,冷却系统故障
上汽大通,上汽大通MAXUS V90,2020款 2.0T 手动 运杰版 前驱 后单胎 长轴 高顶 7座,上汽大通MAXUS V90行驶时跑偏变速箱打齿,发动机,异响,异响
上汽通用雪佛兰,赛欧,2010款 1.4SE 手动 理想版 三厢,雪佛兰赛欧车身漆面鼓包开裂而且生锈,车身附件及电器,车身生锈,漆面起泡开裂
上汽通用别克,英朗,2018款 18T 自动 精英型,别克英朗发动机抖动 车窗异响 冷却系统异常,发动机,抖动,冷却系统故障
上汽通用别克,昂科拉,2013款 1.4T  手动 都市进取型,别克昂科拉发动机漏油漏防冻液,发动机,漏油,漏防冻液
上汽通用别克,凯越,2008款 1.8 手动 LE,别克凯越中控仪表台开裂 安全带卡扣开裂,车身附件及电器,仪表台开裂,安全带故障
宝马（进口）,宝马X4,2020款 xDrive25i M运动套装,进口宝马X4变速箱阀体损坏 制动故障灯亮,变速器,挡把总成故障,故障灯亮
长城汽车,WEY VV6,2020款 2.0T 四驱 智驭+,WEY VV6车机屏幕花屏失灵黑屏更换后未解决,车身附件及电器,影音系统故障,车载互联故障
吉利汽车,缤越,2020款 PRO 240T 手动 射手,吉利缤越经销商维修后忘记插上机油尺,,人员技术,
上汽通用雪佛兰,科鲁兹,2013款 1.6L SE 手动,雪佛兰科鲁兹冷却液乳化 发动机漏油,发动机,漏油,冷却系统故障
一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元故障,变速器,电脑板故障,
长安汽车,长安CS75,2014款 1.8T 自动 精英型 国V,长安CS75变速箱P挡锁死无法启动车辆,变速器,无法换挡,
上汽通用别克,别克GL8,2017款 28T 豪华型 国V,别克GL8倒车影像延时严重要求解决,车身附件及电器,影音系统故障,
上汽通用别克,昂科旗,2020款 28T 两驱 豪华型,别克昂科旗喇叭电流声经销商不解决,车身附件及电器,影音系统故障,
一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾刹车盘异常磨损刹车时异响,制动系统,异响,异常磨损
上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机爆震要求免费维修,发动机,爆震,
东风小康,风光580,2017款 1.5T CVT 豪华型 改款,东风风光580原车行车记录仪无法拍摄,车身附件及电器,影音系统故障,
上汽大众,帕萨特,2011款 新PASSAT 1.8TSI DSG 尊荣版,上汽大众帕萨特发动机出现缸盖漏油,发动机,漏油,
上汽大众,帕萨特,2011款 新PASSAT 1.8TSI DSG 尊荣版,上汽大众帕萨特发动机出现缸盖漏油,发动机,漏油,
上汽大众,帕萨特,2011款 新PASSAT 1.8TSI DSG 尊荣版,上汽大众帕萨特发动机出现缸盖漏油,发动机,漏油,
上汽大众,帕萨特,2011款 新PASSAT 1.8TSI DSG 尊荣版,上汽大众帕萨特发动机出现缸盖漏油,发动机,漏油,
上汽大众,帕萨特,2011款 新PASSAT 1.8TSI DSG 尊荣版,上汽大众帕萨特发动机出现缸盖漏油,发动机,漏油,
上汽大众,帕萨特,2011款 新PASSAT 1.8TSI DSG 尊荣版,上汽大众帕萨特发动机出现缸盖漏油,发动机,漏油,
上汽大众,帕萨特,2011款 新PASSAT 1.8TSI DSG 尊荣版,上汽大众帕萨特发动机出现缸盖漏油,发动机,漏油,
上汽大众,帕萨特,2011款 新PASSAT 1.8TSI DSG 尊荣版,上汽大众帕萨特发动机出现缸盖漏油,发动机,漏油,
上汽通用凯迪拉克,凯迪拉克ATS-L,2017款 28T 技术型,凯迪拉克ATS-L正常行驶时天窗异响,车身附件及电器,天窗异响,
广汽丰田,汉兰达,2018款 2.0T 四驱 骑士版 7座 国VI,广汽丰田汉兰达车门胶条开裂 车顶有异响,车身附件及电器,车身异响,密封条损坏
上汽通用别克,威朗,2015款 20T 双离合 领先型,别克威朗发动机烧机油 漏机油要求解决,发动机,漏油,烧机油
东风悦达起亚,起亚K3,2016款 1.6L 自动 GLS,东风悦达起亚K3方向管柱异响厂家拒绝更换,转向系统,异响,服务态度
一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾变速箱机电单元故障希望处理,变速器,电脑板故障,
广汽三菱,欧蓝德,2019款 2.4L 四驱 致享版 7座 国VI,广汽三菱欧蓝德敲缸爆震升级两次未解决,发动机,异响,爆震
北京奔驰,奔驰GLC,2017款 300 4MATIC 动感型,北京奔驰GLC空调一侧出冷风另一侧出热风,车身附件及电器,空调问题,
广汽本田,皓影,2020款 240TURBO CVT 两驱 尊贵版,广汽本田皓影4S店违约延期交车 加收费用,,服务收费,承诺不兑现
长安汽车,长安CS55,2018款 1.5T 手动 炫色型 国V,长安CS55经销商保养发动机内部油泥严重,,配件争议,
上汽通用别克,凯越,2015款 1.5L 自动 经典型,别克凯越左前侧玻璃升降器钢丝绳断裂,车身附件及电器,车窗升降故障,
长安福特,福睿斯,2015款 1.5L 自动 时尚型,长安福特福睿斯冷凝器泄漏导致不制冷,车身附件及电器,空调问题,
昌河铃木,北斗星,2015款 1.4L 全能升级型,昌河铃木北斗星车身及后翼子板生锈严重,车身附件及电器,车身生锈,
林肯（进口）,林肯MKX,2017款 2.0T 两驱 尊享版,林肯MKX防动液渗入气缸导致发动机失火,发动机,抖动,漏防冻液
宝马（进口）,宝马X4,2020款 xDrive25i M运动套装,进口宝马X4变速箱阀体损坏故障灯亮,变速器,故障灯亮,滑阀箱故障
北京现代,途胜,2019款 280TGDi 双离合 两驱 智联版 国V,北京现代途胜多处异响 变速箱异响 饰板开裂,变速器,异响,部件开裂
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳变速箱拖挡共振 车身抖动,变速器,抖动,拖挡
奇瑞汽车,风云2,2015款 1.5L 手动 新锐版,奇瑞风云2车身多处生锈希望尽快处理,车身附件及电器,车身生锈,
东南汽车,东南DX3,2016款 1.5L SRG 手动 尊贵型,东南DX3中控台及四个车门异响严重,转向系统,异响,门窗异响
比亚迪,宋Pro,2019款 1.5T 自动 豪华型,比亚迪宋Pro四个轮毂出现氧化的现象,车身附件及电器,轮毂问题,
奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪耀版,奇瑞瑞虎8 PLUS中控台与车门有异响,车身附件及电器,门窗异响,中控台异响
长城汽车,哈弗H2,2017款 1.5T 手动 两驱豪华型 红标,哈弗H2 4S店维修转向系统损坏转向轴防尘罩,,人员技术,
江淮汽车,江淮iEV6E,2019款 运动版 iEV6E 豪华智能型 精装版,江淮iEV6E质保期内维修4S店不予提供代步车,,承诺不兑现,
广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌4S店销售赠送加油卡与宣传不符,,承诺不兑现,销售欺诈
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元故障4S店不保修,变速器,滑阀箱故障,
一汽-大众,速腾,2015款 230TSI  自动 豪华型,一汽大众速腾发动机高压油泵异响厂家不解决,发动机,异响,
上汽通用凯迪拉克,凯迪拉克XTS,2016款 28T 精英型,上汽通用凯迪拉克XTS中控屏系统卡滞,车身附件及电器,影音系统故障,
长城汽车,欧拉黑猫,2019款 女神版 351km,欧拉黑猫车内异味严重影响身体健康,车身附件及电器,车内异味,
长城汽车,欧拉黑猫,2019款 女神版 351km,欧拉黑猫车内异味严重影响身体健康,车身附件及电器,车内异味,
长城汽车,欧拉黑猫,2019款 女神版 351km,欧拉黑猫车内异味严重影响身体健康,车身附件及电器,车内异味,
长城汽车,欧拉黑猫,2019款 女神版 351km,欧拉黑猫车内异味严重影响身体健康,车身附件及电器,车内异味,
长城汽车,欧拉黑猫,2019款 女神版 351km,欧拉黑猫车内异味严重影响身体健康,车身附件及电器,车内异味,
长城汽车,欧拉黑猫,2019款 女神版 351km,欧拉黑猫车内异味严重影响身体健康,车身附件及电器,车内异味,
长城汽车,欧拉黑猫,2019款 女神版 351km,欧拉黑猫车内异味严重影响身体健康,车身附件及电器,车内异味,
长城汽车,欧拉黑猫,2019款 女神版 351km,欧拉黑猫车内异味严重影响身体健康,车身附件及电器,车内异味,
华晨中华,中华V7,2018款 280T DCT 豪华型 7座,华晨中华V7节气门故障厂家无配件,发动机,故障灯亮,行车安全辅助系统故障
东风日产,启辰T60,2020款 1.6L CVT 智行版 国VI,东风日产启辰T60行驶时向右跑偏方向盘沉重,转向系统,打方向沉重,跑偏
上汽通用别克,英朗,2016款 15N 手动 精英型,别克英朗打方向时异响 遮阳帘断裂,转向系统,异响,部件开裂
凯翼汽车,凯翼X3,2018款 1.6L CVT 智享版 国V,凯翼X3中控屏出现闪屏黑屏现象,车身附件及电器,影音系统故障,
一汽-大众,速腾,2021款 280TSI DSG 豪华智联版,一汽大众速腾发动机故障报警 低开发票价格,发动机,故障灯亮,服务收费
上汽通用别克,英朗,2017款 15N 自动 精英型,别克英朗发动机抖动 低速转向异响,发动机,抖动,异响
上汽通用雪佛兰,科沃兹,2020款 Redline 325T 自动 欣尚版 国VI,雪佛兰科沃兹发动机故障灯亮希望处理,发动机,故障灯亮,
一汽-大众奥迪,奥迪A4L,2016款 2.0T 自动 标准型,一汽大众奥迪A4L冷却液无故缺失,发动机,漏防冻液,
广汽乘用车,传祺GS4,2016款 235T 手动 豪华版,广汽传祺GS4底盘异响维修多次未解决,前后桥及悬挂系统,底盘异响,人员技术
上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸多项配置存在疑似减配问题,,销售欺诈,其他
一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙颠簸路面车门异响 内饰异响,车身附件及电器,门窗异响,车内异响
长安福特,蒙迪欧,2018款 EcoBoost 180 舒适型,长安福特蒙迪欧变速箱无法挂挡4S店无法解决,变速器,无法换挡,
上汽通用别克,凯越,2011款 1.6 自动 LX,别克凯越发动机气门室盖漏油 雨刮器失灵,发动机,漏油,雨刮器故障
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳行驶过程中变速箱顿挫,变速器,顿挫,
上汽通用凯迪拉克,凯迪拉克XT5,2021款 28T 豪华型,凯迪拉克XT5中控车机卡顿黑屏死机,车身附件及电器,影音系统故障,车载互联故障
长安福特,翼虎,2015款 2.0L GTDi 四驱尊贵型 5座,长安福特翼虎油箱加不满油 油耗高 动力不足,发动机,功率不足,油耗高
北京奔驰,奔驰GLC,2021款 GLC 300 L 4MATIC 动感型,北京奔驰GLC右后侧车窗玻璃无法上升,车身附件及电器,车窗升降故障,
广汽丰田,凯美瑞,2009款 240G 自动 豪华版,广汽丰田凯美瑞中控台软化掉皮,车身附件及电器,部件异常磨损,
BEIJING汽车,BEIJING-EX3,2019款 R600 劲尚版,BEIJING-EX3能量回收失效 导航无法升级,车身附件及电器,电瓶故障,导航问题
一汽-大众奥迪,奥迪A6L,2021款 40 TFSI 豪华动感型,一汽大众奥迪A6L座椅开线 发动机抖动熄火,发动机,抖动,熄火
奇瑞汽车,瑞虎8,2020款 290TGDI 自动 时尚版,奇瑞瑞虎8车灯盲区大影响行车安全,,其他,
奇瑞捷豹路虎,发现神行,2018款 240PS SE版,奇瑞路虎发现神行电动后备箱出现异响,车身附件及电器,后备箱故障,
吉利汽车,博越,2020款 1.8TD DCT 智联PRO,吉利博越刹车时汽油箱异响严重希望解决,车身附件及电器,汽油箱异响,
上汽通用别克,君越,2018款 28T 自动 Avenir,别克君越车内有严重异味一直无法消除,车身附件及电器,车内异味,
一汽吉林,森雅R9,2018款 1.2T 自动 尊贵智悦型,一汽吉林森雅R9变速箱故障灯亮无法行驶,变速器,故障灯亮,
广汽乘用车,传祺GS4,2018款 235T 自动 两驱 豪华智联版,广汽传祺GS4冷却液异常消耗4S店不解决,发动机,冷却系统故障,
广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后右后轮附近有电机声音,前后桥及悬挂系统,车轮异响,
广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后右后轮附近有电机声音,前后桥及悬挂系统,车轮异响,
广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后右后轮附近有电机声音,前后桥及悬挂系统,车轮异响,
广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后右后轮附近有电机声音,前后桥及悬挂系统,车轮异响,
广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后右后轮附近有电机声音,前后桥及悬挂系统,车轮异响,
广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后右后轮附近有电机声音,前后桥及悬挂系统,车轮异响,
广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后右后轮附近有电机声音,前后桥及悬挂系统,车轮异响,
广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后右后轮附近有电机声音,前后桥及悬挂系统,车轮异响,
一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国V,一汽大众探岳大灯内部发白不亮影响行车安全,车身附件及电器,车灯不亮,
上汽通用雪佛兰,迈锐宝XL,2019款 Redline 550T 自动 锐动版,雪佛兰迈锐宝XL马牌轮胎异常磨损严重,轮胎,磨损,
众泰汽车,大迈X7,2017款 1.8T 手动 尊贵型,众泰大迈X7商家未兑现终身免费基础保养,,承诺不兑现,
上汽通用雪佛兰,科鲁泽,2019款 330T 自动 畅快版 RS 国VI,雪佛兰科鲁泽中控台异响 后悬挂减震器异响,前后桥及悬挂系统,减震器异响,中控台异响
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳转向异响 变速箱异响抖动,发动机,异响,异响
东风小康,风光580,2017款 1.5T CVT 智尚型,东风风光580变速箱故障车辆无法使用,发动机,熄火,无法换挡
上汽通用别克,昂科威,2019款 20T 两驱 领先型 国VI,别克昂科威变速箱异响 普利司通轮胎老化,变速器,异响,顿挫
一汽丰田,卡罗拉,2017款 1.2T S-CVT GL-i 改款,一汽丰田卡罗拉中控台开裂一直未解决,车身附件及电器,仪表台开裂,
广汽丰田,雷凌,2021款 185T CVT 运动版,广汽丰田雷凌低速加速时变速箱顿挫异响,变速器,异响,顿挫
东风风行,风行S50EV,2018款 EV 豪华型,东风风行S50EV快充高压线损坏 刹车失灵,制动系统,刹车失灵,充电故障
北京奔驰,奔驰C级,2021款 C 260 L 运动星耀臻藏版,北京奔驰C级车辆无法启动电瓶无法运作,发动机,无法启动,电瓶故障
北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜变速箱故障跳挡厂家无配件,变速器,跳挡,配件争议
上汽通用别克,君威,2010款 2.4 自动 舒适版,别克君威变速器波轮断裂导致无法使用,变速器,机械部件故障,
上汽通用凯迪拉克,凯迪拉克XTS,2016款 28T 精英型,凯迪拉克XTS厂家更换中控屏幕漏光副厂件,车身附件及电器,影音系统故障,配件争议
一汽-大众奥迪,奥迪Q5,2015款 40 TFSI 技术型 5座,一汽大众奥迪Q5防冻液水壶发生开裂,车身附件及电器,部件开裂,
东风标致,标致308,2018款 1.6L 自动 豪华版,东风标致308后备箱开合过程中铰链挂钩变形,车身附件及电器,后备箱故障,服务态度
上汽大众,帕萨特,2015款 1.8TSI DSG尊荣版,上汽大众帕萨特中控导航黑屏影响正常使用,车身附件及电器,影音系统故障,
东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408多个故障灯亮 充电系统故障,车身附件及电器,电路故障,充电故障
一汽-大众,捷达,2012款 1.6 手动 典藏版,一汽大众捷达全车车身生锈腐烂要求处理,车身附件及电器,车身生锈,
华晨宝马,宝马X1,2020款 sDrive25Li 领先型,华晨宝马X1内饰雨刮器刹车异响安全带未报警,制动系统,异响,车内异响
上汽集团,名爵ZS,2018款 1.5L 手动 舒适版 国V,上汽名爵ZS电磁阀异响 发动机噪音大,发动机,异响,噪音大
奇瑞汽车,瑞虎5x,2020款 1.5L 手动 都市版,奇瑞瑞虎5x半轴油封漏油 方向盘异响,转向系统,异响,半轴渗油
广汽乘用车,传祺GS7,2017款 280T 两驱 豪华型,广汽传祺GS7制动系统故障店内不解决问题,制动系统,刹车偏软,服务态度
东风本田,本田CR-V,2021款 240TURBO CVT 两驱 舒适版,东风本田CR-V出现发动机机油增多,发动机,机油增多,
上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电单元故障,变速器,电脑板故障,
一汽-大众奥迪,奥迪Q5,2017款 Plus 40 TFSI 动感型,一汽大众奥迪Q5节温器漏冷却液,发动机,漏防冻液,
福特（进口）,探险者（进口）,2017款 2.3T 风尚版,进口福特探险者变速箱异响顿挫无法换挡,变速器,异响,顿挫
福特（进口）,探险者（进口）,2017款 2.3T 风尚版,进口福特探险者变速箱异响顿挫无法换挡,变速器,异响,顿挫
福特（进口）,探险者（进口）,2017款 2.3T 风尚版,进口福特探险者变速箱异响顿挫无法换挡,变速器,异响,顿挫
福特（进口）,探险者（进口）,2017款 2.3T 风尚版,进口福特探险者变速箱异响顿挫无法换挡,变速器,异响,顿挫
福特（进口）,探险者（进口）,2017款 2.3T 风尚版,进口福特探险者变速箱异响顿挫无法换挡,变速器,异响,顿挫
福特（进口）,探险者（进口）,2017款 2.3T 风尚版,进口福特探险者变速箱异响顿挫无法换挡,变速器,异响,顿挫
福特（进口）,探险者（进口）,2017款 2.3T 风尚版,进口福特探险者变速箱异响顿挫无法换挡,变速器,异响,顿挫
福特（进口）,探险者（进口）,2017款 2.3T 风尚版,进口福特探险者变速箱异响顿挫无法换挡,变速器,异响,顿挫
东风日产,逍客,2017款 2.0L CVT 智享版 国VI,东风日产逍客传感器故障加速无力熄火怠速高,发动机,熄火,怠速不稳
广汽本田,缤智,2017款 1.8L CVT 两驱 先锋型,广汽本田缤智冷车启动后发动机异响,发动机,异响,
东风标致,标致3008,2015款 1.6THP 自动 潮流版,东风标致3008发动机气门室盖漏油,发动机,漏油,
北京奔驰,奔驰C级,2020款 C 260 L 运动版,北京奔驰C级48伏电机故障高速失速怠速熄火,发动机,故障灯亮,熄火
东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408发动机动力输出不平稳,发动机,动力消失,
东风日产,轩逸,2018款 1.6XE CVT 舒适版,东风日产轩逸变速箱异响要求延长质保,变速器,异响,
铃耀汽车,骁途,2017款 1.6L 手动 两驱 都市时尚型,长安铃木骁途低温无法启动厂家不解决问题,发动机,无法启动,服务态度
一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,一汽丰田卡罗拉发动机机油有汽油味且增多,发动机,机油增多,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L冷启动怠速及驻车时抖动,发动机,抖动,
上汽通用别克,君威,2019款 20T 精英型 国V,别克君威变速箱拖挡抖动 方向盘沉重,变速器,抖动,拖挡
华晨宝马,宝马5系,2020款 530Li 领先型 豪华套装,华晨宝马5系方向机异响4S店不予索赔,转向系统,转向机故障,服务态度
上汽通用别克,凯越,2011款 1.6 手动 LE,别克凯越发动机渗油冒烟影响行车安全,发动机,漏油,
东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑4S店更换前风挡裂纹漏水,车身附件及电器,车身漏水,玻璃开裂
一汽-大众,宝来,2021款 1.5L 自动 舒适智联版,一汽大众宝来蓝牙及USB均无法播放音乐,车身附件及电器,影音系统故障,
上汽大众,途观L,2021款 330TSI 自动 两驱 R-Line越享版,上汽大众途观L方向盘沉重不顺畅有异响,转向系统,异响,打方向沉重
东风日产,蓝鸟,2018款 1.6L CVT 智酷潮音版,东风日产蓝鸟行驶时忽然失控导致事故,转向系统,失灵,
大众（进口）,高尔夫（进口）,2011款 1.4TSI DSG Cross Golf,进口大众高尔夫发动机活塞爆裂 DVD损坏,发动机,烧机油,功率不足
北京奔驰,奔驰E级,2012款 300 L 优雅型,北京奔驰E级车辆碰撞后安全气囊未弹开,车身附件及电器,气囊未弹开,
奇瑞汽车,艾瑞泽5,2020款 1.5L CVT 运动版,奇瑞艾瑞泽5变速箱漏油更换后抖动,变速器,漏油,抖动
陆风汽车,陆风X7,2015款 2.0T 全景尊贵版,陆风X7发动机故障灯亮 变速箱顿挫,发动机,故障灯亮,顿挫
一汽马自达,马自达CX-4,2021款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4原地向左转向异响,转向系统,异响,
吉利汽车,帝豪,2018款 1.5L CVT 豪华型,吉利帝豪变速箱行驶异响 刹车及转向异响,变速器,异响,异响
广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁转向及中控台有电流声,转向系统,异响,中控台异响
东风日产,启辰R50X,2015款 1.6L 手动 豪华版,启辰R50X发动机漏防冻液维修未解决,发动机,漏防冻液,
东风小康,风光580,2017款 1.5T CVT 豪华型 改款,东风风光580变速箱故障导致故障灯亮,变速器,故障灯亮,
上汽通用别克,英朗,2015款 15N 自动 精英型,别克英朗变速箱控制模块损坏导致故障灯亮,变速器,电脑板故障,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱无倒挡和偶数挡,变速器,无法换挡,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱无倒挡和偶数挡,变速器,无法换挡,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱无倒挡和偶数挡,变速器,无法换挡,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱无倒挡和偶数挡,变速器,无法换挡,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱无倒挡和偶数挡,变速器,无法换挡,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱无倒挡和偶数挡,变速器,无法换挡,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱无倒挡和偶数挡,变速器,无法换挡,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱无倒挡和偶数挡,变速器,无法换挡,
广汽菲克Jeep,大指挥官,2020款 2.0T 两驱 精英版,广汽菲克Jeep大指挥官置换补贴一直未兑现,,承诺不兑现,
长城汽车,风骏7,2020款 2.0T 柴油 两驱 新冠军版 公务型 小双 4D20M,长城风骏7涡轮增压器渗油4S店不予理赔,发动机,漏油,涡轮增压器故障
江铃福特,全顺,2017款 2.0T 多功能商用车 中轴 中顶 国IV 柴油,江铃福特全顺三元催化器故障导致故障灯亮,车身附件及电器,三元催化器故障,
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳多次提示冷却液减少希望处理,发动机,冷却系统故障,
领克,领克02,2019款 2.0T 自动 两驱 劲Pro版 国VI 高能版,领克02发动机启动困难影响正常使用,发动机,无法启动,
东风小康,风光580,2017款 1.5T 手动 豪华型,东风风光580经销商收费价格不透明,车身附件及电器,部件开裂,服务收费
上汽集团,荣威i5,2020款 1.5L 自动 4G互联领豪旗舰版,上汽荣威i5漆面开裂变速箱异响严重,变速器,异响,漆面起泡开裂
吉利汽车,博越,2018款 2.0L 手动 两驱 智雅型,吉利博越天窗漏水异响 车身多处异响,车身附件及电器,车身异响,天窗异响
